% mention
@RELATION men

@ATTRIBUTE m_type {N, PR, NULL}
@ATTRIBUTE m1_type {N, PR, NULL}
@ATTRIBUTE gn {MASC, FEM, NULL}
@ATTRIBUTE gn1 {MASC, FEM, NULL}
@ATTRIBUTE num1 {SING, PLUR}
@ATTRIBUTE num {SING, PLUR}
@ATTRIBUTE en {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE en1 {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE gp {CASE=YES, CASE=NO}
@ATTRIBUTE gp1 {CASE=YES, CASE=NO}
@ATTRIBUTE id_form {YES, NO}
@ATTRIBUTE subform {YES, NO}
@ATTRIBUTE inc_rate REAL
@ATTRIBUTE dis_men REAL
@ATTRIBUTE dis_phrase REAL
@ATTRIBUTE dis_char REAL

@DATA
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,93,1,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,11,2,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,39,3,0,-62
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,19,4,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,23,5,0,-62
N,N,NULL,FEM,PERS,NULL,?,PLUR,CASE=NO,CASE=NO,NO,NO,23,6,0,-62
N,N,MASC,FEM,FUNC,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,37,7,0,-62
N,N,NULL,FEM,PERS,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,40,8,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,32,9,0,-62
N,N,MASC,FEM,FUNC,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,46,10,0,-62
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,48,11,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,32,12,0,384
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,34,13,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,10,14,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,36,15,0,-62
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,33,16,0,-62
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,17,0,-62
N,PR,NULL,FEM,NULL,NULL,?,PLUR,CASE=NO,CASE=NO,NO,NO,19,18,0,-62
N,PR,NULL,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,38,19,0,-62
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,47,20,0,-62
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,29,21,0,-62
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,25,22,0,-62
N,N,FEM,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,35,23,0,-62
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,33,24,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,47,25,0,-62
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,10,26,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,43,27,0,-62
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,20,28,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,20,29,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,35,30,0,-62
N,PR,NULL,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,20,31,0,-62
N,N,MASC,FEM,NULL,NULL,PLUR,PLUR,CASE=NO,CASE=NO,NO,NO,64,32,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,33,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,10,34,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,24,35,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,20,36,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,18,37,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,32,38,0,-62
N,N,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,32,39,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,26,40,0,-62
N,PR,MASC,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,20,41,0,-62
N,N,FEM,FEM,NULL,NULL,SING,PLUR,CASE=NO,CASE=NO,NO,NO,25,42,0,-62
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,80,1,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,80,2,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,3,0,0
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,17,4,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,15,5,0,0
PR,N,NULL,MASC,PERS,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,35,6,0,0
PR,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,7,0,0
PR,N,NULL,MASC,PERS,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,13,8,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,25,9,0,0
PR,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,10,0,0
PR,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,17,11,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,6,12,0,0
